Sample_label,depth_m,age_ka-BP,SiO2%,Al2O3%,TiO2%,Fe2O3%,MnO%,CaO%,MgO%,Na2O%,K2O%,P2O5%,Li_ppm,Be_ppm,Sc_ppm,V_ppm,Cr_ppm,Co_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Mo_ppm,Cd_ppm,Sn_ppm,Sb_ppm,Cs_ppm,Ba_ppm,Hf_ppm,Ta_ppm,Pb_ppm,Th_ppm,U_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Tb_ppm,Gd_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm
"346-U1430A-8H-1,145-150",65.52,3251.34,76.31,5.26,0.25,2.04,0.02,0.33,1.02,2.42,1.23,0.04,21.99,0.99,7.42,60.34,26.81,8.44,38.31,42.7,66.77,54.88,95.54,14.48,64.42,7.25,3.16,0.8,1.02,0.74,3.23,1536.68,1.07,0.54,13.64,5.76,3.3,11.79,39.81,3.45,13.23,2.61,0.58,0.34,2.25,1.85,0.36,0.99,0.15,0.97,0.15
"346-U1430A-8H-2,12-14",65.67,3263.88,74.58,5.12,0.23,2.14,0.02,0.34,1.13,3.68,1.25,0.04,21.1,0.98,6.32,63.12,25.72,8.97,32.21,35.94,57.64,46.63,97.81,11.51,54.03,6.27,3.65,0.17,0.94,0.7,3.44,1416.02,1.03,0.4,12.02,5.85,2.89,13.77,39.55,3.47,13.02,2.6,0.58,0.34,2.2,1.84,0.35,0.94,0.15,0.98,0.15
"346-U1430A-8H-5,5-6",70.1,3625.72,63.06,13.81,0.49,4.14,0.05,1.02,1.73,3.35,3.14,0.09,51.27,2.27,13.45,92.38,46.23,20.82,53.87,49.16,153.28,117.47,150.72,26.82,145.02,12.97,2.97,0.12,2.31,1.94,8.05,1391.85,3.28,0.86,32.38,13.02,4.38,33.5,80.09,7.71,29.57,5.97,1.22,0.81,5.12,4.43,0.86,2.48,0.38,2.49,0.38
"346-U1430B-8H-5,67-68",75,4042.86,60.5,12.92,0.59,6.35,0.04,0.6,2.26,2.59,2.88,0.09,61.2,2.94,15.51,137.01,87.17,39.06,58.48,53.85,127.36,130.61,162.53,28.8,175.42,22,4.18,0.15,2.66,2.09,9.99,2023.95,3.54,1.47,31.98,17.69,7.71,44.97,123.45,10.44,40.43,7.77,1.59,0.97,6.3,5.12,0.96,2.65,0.4,2.57,0.39
"346-U1430A-9H-1,145-150",75.13,4053.78,60.49,14.25,0.61,5.73,0.04,0.6,2.1,2.53,2.91,0.07,70.63,2.83,14.74,125.62,94.84,35.14,54.28,48.25,166.04,133.91,141.24,24.8,186.94,22.18,5.39,0.59,2.63,2.11,9.53,2198.13,3.39,1.5,33.65,16.35,7.76,35.4,90.37,8.28,31.98,6.48,1.37,0.81,5.13,4.33,0.83,2.39,0.37,2.34,0.37
"346-U1430A-9H-2,10-12",75.26,4065.12,60.5,12.92,0.59,6.35,0.04,0.6,2.26,2.59,2.88,0.09,64.84,2.75,15.21,137.39,68.55,30.32,61.11,52.18,190.69,126.62,159.94,29.54,182.69,21.26,4.5,0.18,2.72,1.88,10.43,1932.59,3.54,1.48,30.92,15.29,7.9,43.66,128.05,10.42,40.41,7.89,1.61,0.98,6.45,5.15,0.96,2.71,0.41,2.62,0.41
"346-U1430B-9H-2,65-66",80.27,7305.32,46.95,10.91,0.48,10.03,0.06,0.47,1.6,3.05,2.8,0.14,53.84,3.28,16.95,129.42,66.87,74.2,93.49,96.94,164.03,127.7,98.98,32.1,242.52,48.07,184.86,0.33,2.64,3.88,7.39,1322.79,5.11,2.34,38.13,16.82,12.28,50.2,116.96,10.5,38.17,6.96,1.09,0.9,5.71,4.81,0.93,2.61,0.39,2.51,0.38
"346-U1430B-9H-5,89-90",85.01,7426.16,59.19,13.34,0.52,4.48,0.03,0.38,1.88,2.73,2.17,0.1,70.28,2.1,16.78,122.24,80.23,29.28,69.03,82.05,151.99,122.33,107.93,23.27,102.89,10.42,11.73,0.1,2.11,2.69,8.92,1430.78,2.17,0.71,31.94,13.18,8.66,30.62,82.07,6.96,26.26,5.1,1.11,0.67,4.3,3.64,0.71,2.03,0.31,2.03,0.32
"346-U1430A-10H-1,145-150",85.53,7439.41,56.78,13.85,0.52,5.34,0.03,0.4,2,2.87,2.37,0.06,69.55,2.24,14.96,120.53,104.18,18.94,66.87,75.95,188.25,135.84,103.9,22.53,107.76,10.78,22.96,0.91,2.12,2.94,9.2,1949.79,2.45,0.92,31.34,12.24,10.97,23.62,71.74,6.52,24.87,5.15,1.14,0.69,4.35,3.88,0.76,2.23,0.35,2.24,0.36
"346-U1430A-10H-2,10-12",85.66,7442.85,59.19,13.34,0.52,4.48,0.03,0.38,1.88,2.73,2.17,0.1,79.87,1.7,14,104.26,77.19,27.47,85.68,65.5,148.93,114.69,104.63,23.7,101.69,9.73,13.56,0.14,2.4,2.03,10.22,1390.02,2.19,0.74,28.77,12.93,9.23,28.64,87.32,6.96,27.16,5.44,1.16,0.69,4.44,3.7,0.72,2.1,0.34,2.12,0.34
